province,year,month,mean_lights
Northern Samar,2012,11,-0.081580404
Southern Leyte,2012,11,-0.065737951
Samar,2012,11,-0.088182842
Agusan Del Norte,2012,11,0.002279351
Agusan Del Sur,2012,11,-0.056438592
Surigao Del Sur,2012,11,-0.020995553
Lanao Del Sur,2012,11,-0.030908583
Sulu,2012,11,-0.045823702
Tawi-tawi,2012,11,-0.035742104
Basilan,2012,11,-0.047216143
Zamboanga Del Norte,2012,11,-0.029074654
Bukidnon,2012,11,-0.023969634
Camiguin,2012,11,-0.043766679
Misamis Occidental,2012,11,-0.037966708
Misamis Oriental,2012,11,0.289592914
Lanao Del Norte,2012,11,0.039221587
Davao Del Sur,2012,11,0.384717911
Davao Oriental,2012,11,-0.050260152
North Cotabato,2012,11,-0.062604606
Sultan Kudarat,2012,11,-0.090169982
Bataan,2012,11,0.665131185
Bulacan,2012,11,0.611778732
Nueva Ecija,2012,11,0.059799007
Pampanga,2012,11,1.263230093
Tarlac,2012,11,0.231458581
Zambales,2012,11,0.082076293
Aurora,2012,11,-0.05221033
Batangas,2012,11,0.591276761
Cavite,2012,11,1.843896242
Laguna,2012,11,1.127434035
Quezon,2012,11,0.017396279
Rizal,2012,11,0.851386813
Marinduque,2012,11,-0.044815663
Mindoro Occidental,2012,11,-0.03478164
Mindoro Oriental,2012,11,-0.016669778
Palawan,2012,11,-0.068885921
Romblon,2012,11,-0.02296431
Guimaras,2012,12,-0.032479554
Iloilo,2012,12,0.106293797
Biliran,2012,12,-0.062406913
Leyte,2012,12,0.038261338
Saranggani,2012,12,-0.058585706
South Cotabato,2012,12,0.28042048
Compostela,2012,12,-0.073915179
Davao del Norte,2012,12,0.079990732
Zamboanga Sibugay,2012,12,-0.066376344
Zamboanga Del Sur,2012,12,0.05516654
Dinagat,2012,12,-0.026311006
Surigao Del Norte,2012,12,-0.016103237
Maguindanao,2012,12,-0.06983254
Shariff Kabunsuan,2012,12,-0.035156227
Abra,2012,12,-0.133006922
Apayao,2012,12,-0.115172381
Benguet,2012,12,0.206049478
Ifugao,2012,12,-0.119549835
Kalinga,2012,12,-0.117744047
Mountain Province,2012,12,-0.137340065
Metropolitan Manila,2012,12,19.50879722
Ilocos Norte,2012,12,0.036034061
Ilocos Sur,2012,12,0.011315655
La Union,2012,12,0.158722857
Pangasinan,2012,12,0.181963494
Batanes,2012,12,-0.120934548
Cagayan,2012,12,-0.095649478
Isabela,2012,12,-0.082304587
Nueva Vizcaya,2012,12,-0.099319805
Quirino,2012,12,-0.105934414
Albay,2012,12,0.071060041
Camarines Norte,2012,12,-0.078645147
Camarines Sur,2012,12,-0.005135562
Catanduanes,2012,12,-0.089146015
Masbate,2012,12,-0.07977455
Sorsogon,2012,12,-0.052993075
Aklan,2012,12,-0.028563522
Antique,2012,12,-0.034088994
Capiz,2012,12,-0.034325661
Negros Occidental,2012,12,0.099899523
Bohol,2012,12,-0.015704665
Cebu,2012,12,0.703050227
Negros Oriental,2012,12,-0.019436234
Siquijor,2012,12,-0.044109396
Eastern Samar,2012,12,-0.118085092
Northern Samar,2012,12,-0.096427094
Southern Leyte,2012,12,-0.058708592
Samar,2012,12,-0.107508066
Agusan Del Norte,2012,12,0.003221808
Agusan Del Sur,2012,12,-0.073628707
Surigao Del Sur,2012,12,-0.045561531
Lanao Del Sur,2012,12,-0.014704681
Sulu,2012,12,-0.07408512
Tawi-tawi,2012,12,-0.074536354
Basilan,2012,12,-0.076166229
Zamboanga Del Norte,2012,12,-0.077282514
Bukidnon,2012,12,0.006227726
Camiguin,2012,12,-0.047558389
Misamis Occidental,2012,12,-0.025289844
Misamis Oriental,2012,12,0.409430204
Lanao Del Norte,2012,12,0.044733319
Davao Del Sur,2012,12,0.431604709
Davao Oriental,2012,12,-0.091460285
North Cotabato,2012,12,-0.04714899
Sultan Kudarat,2012,12,-0.067640117
Bataan,2012,12,0.734426308
Bulacan,2012,12,0.687156049
Nueva Ecija,2012,12,0.009891085
Pampanga,2012,12,1.579607943
Tarlac,2012,12,0.22220773
Zambales,2012,12,0.117868492
Aurora,2012,12,-0.123892843
Batangas,2012,12,0.705190616
Cavite,2012,12,2.442402018
Laguna,2012,12,1.39627018
Quezon,2012,12,-0.04587468
Rizal,2012,12,0.994596224
Marinduque,2012,12,-0.085204491
Mindoro Occidental,2012,12,-0.087313479
Mindoro Oriental,2012,12,-0.084188555
Palawan,2012,12,-0.106690041
Romblon,2012,12,-0.132571173
Guimaras,2013,1,0.013338116
Iloilo,2013,1,0.101325201
Biliran,2013,1,-0.0770705
Leyte,2013,1,0.010141739
Saranggani,2013,1,-0.096715354
South Cotabato,2013,1,0.287396956
Compostela,2013,1,-0.072342938
Davao del Norte,2013,1,0.033317086
Zamboanga Sibugay,2013,1,-0.075562019
Zamboanga Del Sur,2013,1,-0.013345811
Dinagat,2013,1,-0.027797149
Surigao Del Norte,2013,1,-0.04485854
Maguindanao,2013,1,-0.099552785
Shariff Kabunsuan,2013,1,-0.074775563
Abra,2013,1,-0.044947745
Apayao,2013,1,-0.070556284
Benguet,2013,1,0.360474124
Ifugao,2013,1,-0.060918382
Kalinga,2013,1,-0.066849325
Mountain Province,2013,1,-0.077826
Metropolitan Manila,2013,1,15.77119517
Ilocos Norte,2013,1,0.067541852
Ilocos Sur,2013,1,0.066020547
La Union,2013,1,0.145586108
Pangasinan,2013,1,0.153749361
Batanes,2013,1,-0.033379469
